FAMA-REAL-FM-18.xml , 44 , 5.568156E7 , 250
annotation_section , cobol , 1.990656E7 , 94
annotation_section , conditional_perform_graph , 9953280.0 , 234
annotation_section , copybook_page , 1.11456E7 , 93
annotation_section , database , 2.22912E7 , 234
annotation_section , db2 , 7430400.0 , 94
annotation_section , delphi , 1.119744E7 , 234
annotation_section , doc_gen , 2.22912E7 , 93
annotation_section , dutch , 1.48608E7 , 312
annotation_section , dynamic , 2.22912E7 , 94
annotation_section , english , 1.48608E7 , 234
annotation_section , entities_section , 1.11456E7 , 94
annotation_section , ibm_cobol , 9953280.0 , 234
annotation_section , indexes , 1.11456E7 , 93
annotation_section , interaction , 2.22912E7 , 234
annotation_section , jcl , 1.492992E7 , 94
annotation_section , jcl_graph , 7464960.0 , 234
annotation_section , language_analysis , 2.22912E7 , 78
annotation_section , localization , 2.22912E7 , 234
annotation_section , main_pages , 2.22912E7 , 78
annotation_section , microfocus_cobol , 9953280.0 , 296
annotation_section , mysql , 7430400.0 , 94
annotation_section , oracle , 7430400.0 , 234
annotation_section , overview_graph , 1.11456E7 , 78
annotation_section , parameters_section , 1.11456E7 , 249
annotation_section , perform_graph , 9953280.0 , 78
annotation_section , presentation , 2.22912E7 , 234
annotation_section , program_page , 2.22912E7 , 78
annotation_section , progress , 1.119744E7 , 250
annotation_section , search_page , 1.11456E7 , 78
annotation_section , source_difference , 7430400.0 , 234
annotation_section , source_page , 1.11456E7 , 78
annotation_section , sql , 1.119744E7 , 234
annotation_section , static , 0.0 , 94
annotation_section , statistics_page , 1.48608E7 , 249
annotation_section , subsystem_graph , 8916480.0 , 94
annotation_section , subsystem_page , 8916480.0 , 234
annotation_section , subsystems , 1.783296E7 , 78
annotation_section , version_mngt , 1.48608E7 , 234
annotation_section , visualizations , 2.0829312E7 , 78
annotation_section , with_history , 7430400.0 , 249
annotation_section , without_history , 7430400.0 , 94
cobol , conditional_perform_graph , 2.4862464E7 , 250
cobol , copybook_page , 2.48832E7 , 93
cobol , database , 4.9724928E7 , 250
cobol , db2 , 1.6574976E7 , 93
cobol , delphi , 2.4862464E7 , 250
cobol , doc_gen , 4.9724928E7 , 109
cobol , dutch , 3.3149952E7 , 250
cobol , dynamic , 3.9792384E7 , 93
cobol , english , 3.3149952E7 , 250
cobol , entities_section , 2.48832E7 , 94
cobol , ibm_cobol , 2.4862464E7 , 234
cobol , indexes , 2.48832E7 , 109
cobol , interaction , 4.9724928E7 , 250
cobol , jcl , 3.3149952E7 , 94
cobol , jcl_graph , 1.6574976E7 , 249
cobol , language_analysis , 4.9724928E7 , 94
cobol , localization , 4.9724928E7 , 281
cobol , main_pages , 4.9724928E7 , 78
cobol , microfocus_cobol , 2.4862464E7 , 265
cobol , mysql , 1.6574976E7 , 93
cobol , oracle , 1.6574976E7 , 234
cobol , overview_graph , 2.4862464E7 , 94
cobol , parameters_section , 2.48832E7 , 265
cobol , perform_graph , 2.4862464E7 , 94
cobol , presentation , 4.9724928E7 , 249
cobol , program_page , 4.603392E7 , 94
cobol , progress , 2.4862464E7 , 250
cobol , search_page , 1.990656E7 , 109
cobol , source_difference , 1.65888E7 , 265
cobol , source_page , 2.48832E7 , 94
cobol , sql , 2.4862464E7 , 249
cobol , static , 9932544.0 , 94
cobol , statistics_page , 3.31776E7 , 265
cobol , subsystem_graph , 1.9892736E7 , 140
cobol , subsystem_page , 1.990656E7 , 250
cobol , subsystems , 3.9785472E7 , 94
cobol , version_mngt , 3.3156864E7 , 249
cobol , visualizations , 4.7238912E7 , 94
cobol , with_history , 1.65888E7 , 265
cobol , without_history , 1.65888E7 , 94
conditional_perform_graph , copybook_page , 1.24416E7 , 234
conditional_perform_graph , database , 2.4862464E7 , 93
conditional_perform_graph , db2 , 8287488.0 , 250
conditional_perform_graph , delphi , 1.2431232E7 , 78
conditional_perform_graph , doc_gen , 2.4862464E7 , 265
conditional_perform_graph , dutch , 1.6574976E7 , 94
conditional_perform_graph , dynamic , 1.9896192E7 , 249
conditional_perform_graph , english , 1.6574976E7 , 78
conditional_perform_graph , entities_section , 1.24416E7 , 250
conditional_perform_graph , ibm_cobol , 1.2431232E7 , 93
conditional_perform_graph , indexes , 1.24416E7 , 250
conditional_perform_graph , interaction , 2.4862464E7 , 78
conditional_perform_graph , jcl , 1.6574976E7 , 250
conditional_perform_graph , jcl_graph , 8287488.0 , 93
conditional_perform_graph , language_analysis , 2.4862464E7 , 250
conditional_perform_graph , localization , 2.4862464E7 , 93
conditional_perform_graph , main_pages , 2.4862464E7 , 250
conditional_perform_graph , microfocus_cobol , 1.2431232E7 , 94
conditional_perform_graph , mysql , 8287488.0 , 249
conditional_perform_graph , oracle , 8287488.0 , 94
conditional_perform_graph , overview_graph , 1.2431232E7 , 234
conditional_perform_graph , parameters_section , 1.24416E7 , 93
conditional_perform_graph , perform_graph , 1.2431232E7 , 250
conditional_perform_graph , presentation , 2.4862464E7 , 94
conditional_perform_graph , program_page , 2.301696E7 , 249
conditional_perform_graph , progress , 1.2431232E7 , 94
conditional_perform_graph , search_page , 9953280.0 , 234
conditional_perform_graph , source_difference , 8294400.0 , 93
conditional_perform_graph , source_page , 1.24416E7 , 266
conditional_perform_graph , sql , 1.2431232E7 , 93
conditional_perform_graph , static , 4966272.0 , 265
conditional_perform_graph , statistics_page , 1.65888E7 , 78
conditional_perform_graph , subsystem_graph , 9946368.0 , 250
conditional_perform_graph , subsystem_page , 9953280.0 , 94
conditional_perform_graph , subsystems , 1.9892736E7 , 249
conditional_perform_graph , version_mngt , 1.6578432E7 , 78
conditional_perform_graph , visualizations , 2.4862464E7 , 265
conditional_perform_graph , with_history , 8294400.0 , 94
conditional_perform_graph , without_history , 8294400.0 , 250
copybook_page , database , 2.7864E7 , 93
copybook_page , db2 , 9288000.0 , 250
copybook_page , delphi , 1.39968E7 , 78
copybook_page , doc_gen , 2.7864E7 , 249
copybook_page , dutch , 1.8576E7 , 110
copybook_page , dynamic , 2.22912E7 , 249
copybook_page , english , 1.8576E7 , 94
copybook_page , entities_section , 1.3932E7 , 249
copybook_page , ibm_cobol , 1.24416E7 , 78
copybook_page , indexes , 1.3932E7 , 266
copybook_page , interaction , 2.7864E7 , 93
copybook_page , jcl , 1.86624E7 , 250
copybook_page , jcl_graph , 9331200.0 , 93
copybook_page , language_analysis , 2.7864E7 , 250
copybook_page , localization , 2.7864E7 , 94
copybook_page , main_pages , 2.7864E7 , 265
copybook_page , microfocus_cobol , 1.24416E7 , 93
copybook_page , mysql , 9288000.0 , 250
copybook_page , oracle , 9288000.0 , 78
copybook_page , overview_graph , 1.3932E7 , 250
copybook_page , parameters_section , 1.3932E7 , 93
copybook_page , perform_graph , 1.24416E7 , 250
copybook_page , presentation , 2.7864E7 , 93
copybook_page , program_page , 2.57742E7 , 250
copybook_page , progress , 1.39968E7 , 94
copybook_page , search_page , 1.11456E7 , 249
copybook_page , source_difference , 9288000.0 , 94
copybook_page , source_page , 1.3932E7 , 312
copybook_page , sql , 1.39968E7 , 93
copybook_page , static , 5572800.0 , 250
copybook_page , statistics_page , 1.8576E7 , 94
copybook_page , subsystem_graph , 1.11456E7 , 249
copybook_page , subsystem_page , 1.11456E7 , 94
copybook_page , subsystems , 2.22912E7 , 249
copybook_page , version_mngt , 1.8576E7 , 94
copybook_page , visualizations , 2.603664E7 , 296
copybook_page , with_history , 9288000.0 , 94
copybook_page , without_history , 9288000.0 , 250
database , db2 , 1.856052E7 , 78
database , delphi , 2.7970272E7 , 249
database , doc_gen , 5.568156E7 , 94
database , dutch , 3.712104E7 , 249
database , dynamic , 4.455918E7 , 94
database , english , 3.712104E7 , 328
database , entities_section , 2.7864E7 , 93
database , ibm_cobol , 2.4862464E7 , 250
database , indexes , 2.7864E7 , 109
database , interaction , 5.568156E7 , 265
database , jcl , 3.7293696E7 , 94
database , jcl_graph , 1.8646848E7 , 234
database , language_analysis , 5.568156E7 , 93
database , localization , 5.568156E7 , 266
database , main_pages , 5.568156E7 , 93
database , microfocus_cobol , 2.4862464E7 , 250
database , mysql , 1.856052E7 , 93
database , oracle , 1.856052E7 , 250
database , overview_graph , 2.784078E7 , 78
database , parameters_section , 2.7864E7 , 250
database , perform_graph , 2.4862464E7 , 78
database , presentation , 5.568156E7 , 312
database , program_page , 5.15484E7 , 78
database , progress , 2.7970272E7 , 249
database , search_page , 2.22912E7 , 78
database , source_difference , 1.8576E7 , 265
database , source_page , 2.7864E7 , 94
database , sql , 2.7970272E7 , 250
database , static , 1.112238E7 , 78
database , statistics_page , 3.7152E7 , 296
database , subsystem_graph , 2.227572E7 , 94
database , subsystem_page , 2.22912E7 , 249
database , subsystems , 4.455144E7 , 94
database , version_mngt , 3.712878E7 , 249
database , visualizations , 5.2030224E7 , 94
database , with_history , 1.8576E7 , 250
database , without_history , 1.8576E7 , 78
db2 , delphi , 9323424.0 , 249
db2 , doc_gen , 1.856052E7 , 78
db2 , dutch , 1.237368E7 , 250
db2 , dynamic , 1.485306E7 , 109
db2 , english , 1.237368E7 , 250
db2 , entities_section , 9288000.0 , 78
db2 , ibm_cobol , 8287488.0 , 234
db2 , indexes , 9288000.0 , 94
db2 , interaction , 1.856052E7 , 234
db2 , jcl , 1.2431232E7 , 78
db2 , jcl_graph , 6215616.0 , 234
db2 , language_analysis , 1.856052E7 , 78
db2 , localization , 1.856052E7 , 250
db2 , main_pages , 1.856052E7 , 78
db2 , microfocus_cobol , 8287488.0 , 234
db2 , mysql , 0.0 , 78
db2 , oracle , 0.0 , 234
db2 , overview_graph , 9280260.0 , 78
db2 , parameters_section , 9288000.0 , 234
db2 , perform_graph , 8287488.0 , 78
db2 , presentation , 1.856052E7 , 234
db2 , program_page , 1.71828E7 , 78
db2 , progress , 9323424.0 , 234
db2 , search_page , 7430400.0 , 78
db2 , source_difference , 6192000.0 , 234
db2 , source_page , 9288000.0 , 93
db2 , sql , 9323424.0 , 234
db2 , static , 3707460.0 , 78
db2 , statistics_page , 1.2384E7 , 234
db2 , subsystem_graph , 7425240.0 , 94
db2 , subsystem_page , 7430400.0 , 234
db2 , subsystems , 1.485048E7 , 78
db2 , version_mngt , 1.237626E7 , 234
db2 , visualizations , 1.7343408E7 , 93
db2 , with_history , 6192000.0 , 234
db2 , without_history , 6192000.0 , 94
delphi , doc_gen , 2.7970272E7 , 234
delphi , dutch , 1.8646848E7 , 78
delphi , dynamic , 2.2383216E7 , 234
delphi , english , 1.8646848E7 , 94
delphi , entities_section , 1.39968E7 , 249
delphi , ibm_cobol , 1.2431232E7 , 78
delphi , indexes , 1.39968E7 , 234
delphi , interaction , 2.7970272E7 , 94
delphi , jcl , 1.8646848E7 , 234
delphi , jcl_graph , 9323424.0 , 93
delphi , language_analysis , 2.7970272E7 , 234
delphi , localization , 2.7970272E7 , 94
delphi , main_pages , 2.7970272E7 , 250
delphi , microfocus_cobol , 1.2431232E7 , 78
delphi , mysql , 9323424.0 , 249
delphi , oracle , 9323424.0 , 78
delphi , overview_graph , 1.3985136E7 , 250
delphi , parameters_section , 1.39968E7 , 93
delphi , perform_graph , 1.2431232E7 , 250
delphi , presentation , 2.7970272E7 , 94
delphi , program_page , 2.589408E7 , 234
delphi , progress , 1.3985136E7 , 93
delphi , search_page , 1.119744E7 , 234
delphi , source_difference , 9331200.0 , 94
delphi , source_page , 1.39968E7 , 249
delphi , sql , 1.3985136E7 , 94
delphi , static , 5587056.0 , 234
delphi , statistics_page , 1.86624E7 , 94
delphi , subsystem_graph , 1.1189664E7 , 249
delphi , subsystem_page , 1.119744E7 , 78
delphi , subsystems , 2.2379328E7 , 265
delphi , version_mngt , 1.8650736E7 , 94
delphi , visualizations , 2.610576E7 , 250
delphi , with_history , 9331200.0 , 78
delphi , without_history , 9331200.0 , 249
doc_gen , dutch , 3.712104E7 , 94
doc_gen , dynamic , 4.455918E7 , 249
doc_gen , english , 3.712104E7 , 94
doc_gen , entities_section , 2.7864E7 , 250
doc_gen , ibm_cobol , 2.4862464E7 , 78
doc_gen , indexes , 2.7864E7 , 265
doc_gen , interaction , 5.568156E7 , 93
doc_gen , jcl , 3.7293696E7 , 266
doc_gen , jcl_graph , 1.8646848E7 , 78
doc_gen , language_analysis , 5.568156E7 , 249
doc_gen , localization , 5.568156E7 , 94
doc_gen , main_pages , 5.568156E7 , 249
doc_gen , microfocus_cobol , 2.4862464E7 , 78
doc_gen , mysql , 1.856052E7 , 265
doc_gen , oracle , 1.856052E7 , 94
doc_gen , overview_graph , 2.784078E7 , 249
doc_gen , parameters_section , 2.7864E7 , 94
doc_gen , perform_graph , 2.4862464E7 , 234
doc_gen , presentation , 5.568156E7 , 94
doc_gen , program_page , 5.15484E7 , 265
doc_gen , progress , 2.7970272E7 , 93
doc_gen , search_page , 2.22912E7 , 234
doc_gen , source_difference , 1.8576E7 , 94
doc_gen , source_page , 2.7864E7 , 265
doc_gen , sql , 2.7970272E7 , 78
doc_gen , static , 1.112238E7 , 250
doc_gen , statistics_page , 3.7152E7 , 93
doc_gen , subsystem_graph , 2.227572E7 , 250
doc_gen , subsystem_page , 2.22912E7 , 94
doc_gen , subsystems , 4.455144E7 , 249
doc_gen , version_mngt , 3.712878E7 , 78
doc_gen , visualizations , 5.2030224E7 , 265
doc_gen , with_history , 1.8576E7 , 78
doc_gen , without_history , 1.8576E7 , 250
dutch , dynamic , 2.970612E7 , 109
dutch , english , 1.856052E7 , 249
dutch , entities_section , 1.8576E7 , 78
dutch , ibm_cobol , 1.6574976E7 , 250
dutch , indexes , 1.8576E7 , 109
dutch , interaction , 3.712104E7 , 250
dutch , jcl , 2.4862464E7 , 93
dutch , jcl_graph , 1.2431232E7 , 250
dutch , language_analysis , 3.712104E7 , 94
dutch , localization , 3.712104E7 , 265
dutch , main_pages , 3.712104E7 , 93
dutch , microfocus_cobol , 1.6574976E7 , 234
dutch , mysql , 1.237368E7 , 110
dutch , oracle , 1.237368E7 , 234
dutch , overview_graph , 1.856052E7 , 78
dutch , parameters_section , 1.8576E7 , 265
dutch , perform_graph , 1.6574976E7 , 78
dutch , presentation , 3.712104E7 , 250
dutch , program_page , 3.43656E7 , 94
dutch , progress , 1.8646848E7 , 249
dutch , search_page , 1.48608E7 , 78
dutch , source_difference , 1.2384E7 , 265
dutch , source_page , 1.8576E7 , 94
dutch , sql , 1.8646848E7 , 265
dutch , static , 7414920.0 , 78
dutch , statistics_page , 2.4768E7 , 250
dutch , subsystem_graph , 1.485048E7 , 93
dutch , subsystem_page , 1.48608E7 , 250
dutch , subsystems , 2.970096E7 , 94
dutch , version_mngt , 2.475252E7 , 265
dutch , visualizations , 3.4686816E7 , 93
dutch , with_history , 1.2384E7 , 234
dutch , without_history , 1.2384E7 , 94
dynamic , english , 2.970612E7 , 265
dynamic , entities_section , 2.22912E7 , 78
dynamic , ibm_cobol , 1.9896192E7 , 265
dynamic , indexes , 2.22912E7 , 94
dynamic , interaction , 4.455918E7 , 250
dynamic , jcl , 2.9844288E7 , 93
dynamic , jcl_graph , 1.4922144E7 , 250
dynamic , language_analysis , 4.455918E7 , 93
dynamic , localization , 4.455918E7 , 266
dynamic , main_pages , 4.455918E7 , 93
dynamic , microfocus_cobol , 1.9896192E7 , 250
dynamic , mysql , 1.485306E7 , 93
dynamic , oracle , 1.485306E7 , 250
dynamic , overview_graph , 2.227959E7 , 94
dynamic , parameters_section , 2.22912E7 , 249
dynamic , perform_graph , 1.9896192E7 , 94
dynamic , presentation , 4.455918E7 , 249
dynamic , program_page , 4.1796E7 , 94
dynamic , progress , 2.2383216E7 , 250
dynamic , search_page , 2.22912E7 , 93
dynamic , source_difference , 1.48608E7 , 250
dynamic , source_page , 2.22912E7 , 93
dynamic , sql , 2.2383216E7 , 234
dynamic , static , 0.0 , 94
dynamic , statistics_page , 2.97216E7 , 250
dynamic , subsystem_graph , 1.782522E7 , 93
dynamic , subsystem_page , 1.783296E7 , 250
dynamic , subsystems , 3.565044E7 , 93
dynamic , version_mngt , 2.970999E7 , 234
dynamic , visualizations , 4.1637096E7 , 94
dynamic , with_history , 1.48608E7 , 249
dynamic , without_history , 1.48608E7 , 94
english , entities_section , 1.8576E7 , 234
english , ibm_cobol , 1.6574976E7 , 78
english , indexes , 1.8576E7 , 249
english , interaction , 3.712104E7 , 94
english , jcl , 2.4862464E7 , 234
english , jcl_graph , 1.2431232E7 , 109
english , language_analysis , 3.712104E7 , 234
english , localization , 3.712104E7 , 94
english , main_pages , 3.712104E7 , 249
english , microfocus_cobol , 1.6574976E7 , 78
english , mysql , 1.237368E7 , 250
english , oracle , 1.237368E7 , 94
english , overview_graph , 1.856052E7 , 234
english , parameters_section , 1.8576E7 , 93
english , perform_graph , 1.6574976E7 , 234
english , presentation , 3.712104E7 , 94
english , program_page , 3.43656E7 , 234
english , progress , 1.8646848E7 , 93
english , search_page , 1.48608E7 , 234
english , source_difference , 1.2384E7 , 78
english , source_page , 1.8576E7 , 234
english , sql , 1.8646848E7 , 78
english , static , 7414920.0 , 234
english , statistics_page , 2.4768E7 , 93
english , subsystem_graph , 1.485048E7 , 265
english , subsystem_page , 1.48608E7 , 78
english , subsystems , 2.970096E7 , 250
english , version_mngt , 2.475252E7 , 78
english , visualizations , 3.4686816E7 , 250
english , with_history , 1.2384E7 , 78
english , without_history , 1.2384E7 , 280
entities_section , ibm_cobol , 1.24416E7 , 78
entities_section , indexes , 1.3932E7 , 250
entities_section , interaction , 2.7864E7 , 94
entities_section , jcl , 1.86624E7 , 234
entities_section , jcl_graph , 9331200.0 , 93
entities_section , language_analysis , 2.7864E7 , 265
entities_section , localization , 2.7864E7 , 94
entities_section , main_pages , 2.7864E7 , 250
entities_section , microfocus_cobol , 1.24416E7 , 78
entities_section , mysql , 9288000.0 , 249
entities_section , oracle , 9288000.0 , 94
entities_section , overview_graph , 1.3932E7 , 265
entities_section , parameters_section , 1.3932E7 , 94
entities_section , perform_graph , 1.24416E7 , 249
entities_section , presentation , 2.7864E7 , 94
entities_section , program_page , 2.7864E7 , 234
entities_section , progress , 1.39968E7 , 93
entities_section , search_page , 1.11456E7 , 250
entities_section , source_difference , 9288000.0 , 94
entities_section , source_page , 1.3932E7 , 234
entities_section , sql , 1.39968E7 , 93
entities_section , static , 5572800.0 , 250
entities_section , statistics_page , 1.8576E7 , 78
entities_section , subsystem_graph , 1.11456E7 , 249
entities_section , subsystem_page , 1.11456E7 , 94
entities_section , subsystems , 2.22912E7 , 250
entities_section , version_mngt , 1.8576E7 , 93
entities_section , visualizations , 2.603664E7 , 234
entities_section , with_history , 9288000.0 , 94
entities_section , without_history , 9288000.0 , 249
ibm_cobol , indexes , 1.24416E7 , 94
ibm_cobol , interaction , 2.4862464E7 , 250
ibm_cobol , jcl , 1.6574976E7 , 93
ibm_cobol , jcl_graph , 8287488.0 , 234
ibm_cobol , language_analysis , 2.4862464E7 , 78
ibm_cobol , localization , 2.4862464E7 , 265
ibm_cobol , main_pages , 2.4862464E7 , 94
ibm_cobol , microfocus_cobol , 0.0 , 250
ibm_cobol , mysql , 8287488.0 , 78
ibm_cobol , oracle , 8287488.0 , 234
ibm_cobol , overview_graph , 1.2431232E7 , 78
ibm_cobol , parameters_section , 1.24416E7 , 265
ibm_cobol , perform_graph , 1.2431232E7 , 78
ibm_cobol , presentation , 2.4862464E7 , 234
ibm_cobol , program_page , 2.301696E7 , 93
ibm_cobol , progress , 1.2431232E7 , 250
ibm_cobol , search_page , 9953280.0 , 78
ibm_cobol , source_difference , 8294400.0 , 234
ibm_cobol , source_page , 1.24416E7 , 109
ibm_cobol , sql , 1.2431232E7 , 234
ibm_cobol , static , 4966272.0 , 94
ibm_cobol , statistics_page , 1.65888E7 , 249
ibm_cobol , subsystem_graph , 9946368.0 , 78
ibm_cobol , subsystem_page , 9953280.0 , 250
ibm_cobol , subsystems , 1.9892736E7 , 94
ibm_cobol , version_mngt , 1.6578432E7 , 234
ibm_cobol , visualizations , 2.3619456E7 , 109
ibm_cobol , with_history , 8294400.0 , 234
ibm_cobol , without_history , 8294400.0 , 93
indexes , interaction , 2.7864E7 , 250
indexes , jcl , 1.86624E7 , 109
indexes , jcl_graph , 9331200.0 , 265
indexes , language_analysis , 2.7864E7 , 110
indexes , localization , 2.7864E7 , 249
indexes , main_pages , 2.7864E7 , 94
indexes , microfocus_cobol , 1.24416E7 , 265
indexes , mysql , 9288000.0 , 94
indexes , oracle , 9288000.0 , 249
indexes , overview_graph , 1.3932E7 , 109
indexes , parameters_section , 1.3932E7 , 250
indexes , perform_graph , 1.24416E7 , 94
indexes , presentation , 2.7864E7 , 265
indexes , program_page , 2.57742E7 , 93
indexes , progress , 1.39968E7 , 234
indexes , search_page , 1.11456E7 , 110
indexes , source_difference , 9288000.0 , 249
indexes , source_page , 1.3932E7 , 94
indexes , sql , 1.39968E7 , 265
indexes , static , 5572800.0 , 94
indexes , statistics_page , 1.8576E7 , 249
indexes , subsystem_graph , 1.11456E7 , 94
indexes , subsystem_page , 1.11456E7 , 249
indexes , subsystems , 2.22912E7 , 94
indexes , version_mngt , 1.8576E7 , 265
indexes , visualizations , 2.603664E7 , 109
indexes , with_history , 9288000.0 , 250
indexes , without_history , 9288000.0 , 94
interaction , jcl , 3.7293696E7 , 249
interaction , jcl_graph , 1.8646848E7 , 94
interaction , language_analysis , 5.568156E7 , 249
interaction , localization , 5.568156E7 , 110
interaction , main_pages , 5.568156E7 , 265
interaction , microfocus_cobol , 2.4862464E7 , 93
interaction , mysql , 1.856052E7 , 250
interaction , oracle , 1.856052E7 , 109
interaction , overview_graph , 2.784078E7 , 250
interaction , parameters_section , 2.7864E7 , 93
interaction , perform_graph , 2.4862464E7 , 266
interaction , presentation , 5.568156E7 , 93
interaction , program_page , 5.15484E7 , 234
interaction , progress , 2.7970272E7 , 109
interaction , search_page , 2.22912E7 , 266
interaction , source_difference , 1.8576E7 , 93
interaction , source_page , 2.7864E7 , 265
interaction , sql , 2.7970272E7 , 94
interaction , static , 1.112238E7 , 265
interaction , statistics_page , 3.7152E7 , 94
interaction , subsystem_graph , 2.227572E7 , 249
interaction , subsystem_page , 2.22912E7 , 110
interaction , subsystems , 4.455144E7 , 249
interaction , version_mngt , 3.712878E7 , 109
interaction , visualizations , 5.2030224E7 , 250
interaction , with_history , 1.8576E7 , 94
interaction , without_history , 1.8576E7 , 265
jcl , jcl_graph , 1.8646848E7 , 93
jcl , language_analysis , 3.7293696E7 , 266
jcl , localization , 3.7293696E7 , 93
jcl , main_pages , 3.7293696E7 , 250
jcl , microfocus_cobol , 1.6574976E7 , 93
jcl , mysql , 1.2431232E7 , 234
jcl , oracle , 1.2431232E7 , 94
jcl , overview_graph , 1.8646848E7 , 265
jcl , parameters_section , 1.86624E7 , 94
jcl , perform_graph , 1.6574976E7 , 249
jcl , presentation , 3.7293696E7 , 94
jcl , program_page , 3.452544E7 , 234
jcl , progress , 1.8646848E7 , 94
jcl , search_page , 1.492992E7 , 280
jcl , source_difference , 1.24416E7 , 94
jcl , source_page , 1.86624E7 , 250
jcl , sql , 1.8646848E7 , 93
jcl , static , 7449408.0 , 250
jcl , statistics_page , 2.48832E7 , 78
jcl , subsystem_graph , 1.4919552E7 , 265
jcl , subsystem_page , 1.492992E7 , 94
jcl , subsystems , 2.9839104E7 , 249
jcl , version_mngt , 2.4867648E7 , 78
jcl , visualizations , 3.5429184E7 , 250
jcl , with_history , 1.24416E7 , 78
jcl , without_history , 1.24416E7 , 234
jcl_graph , language_analysis , 1.8646848E7 , 94
jcl_graph , localization , 1.8646848E7 , 250
jcl_graph , main_pages , 1.8646848E7 , 93
jcl_graph , microfocus_cobol , 8287488.0 , 250
jcl_graph , mysql , 6215616.0 , 93
jcl_graph , oracle , 6215616.0 , 234
jcl_graph , overview_graph , 9323424.0 , 94
jcl_graph , parameters_section , 9331200.0 , 250
jcl_graph , perform_graph , 8287488.0 , 78
jcl_graph , presentation , 1.8646848E7 , 249
jcl_graph , program_page , 1.726272E7 , 78
jcl_graph , progress , 9323424.0 , 250
jcl_graph , search_page , 7464960.0 , 93
jcl_graph , source_difference , 6220800.0 , 250
jcl_graph , source_page , 9331200.0 , 78
